metric,creative,useful,complete,incorrect,superficial,instructions_not_followed
novelty_distinct_n,0.07193710970579552,-0.02197565720314029,-0.03312442467893039,-0.009290518774959492,-0.017405068144679695,0.013128663713520965
novelty_distinct_n_norm,0.07193710970579552,-0.02197565720314029,-0.03312442467893039,-0.009290518774959492,-0.017405068144679695,0.013128663713520965
novelty_mattr,0.07611452775121236,0.04890079176420529,0.04797312097607519,-0.05904143801397351,-0.03641551997783632,-0.021162245534334
novelty_mattr_norm,0.07611452775121236,0.04890079176420529,0.04797312097607519,-0.05904143801397351,-0.03641551997783632,-0.021162245534334
novelty_ngram_rarity,0.08492030846099163,0.04911140199198636,0.087086382122917,-0.051499859183763305,-0.09557715769706894,0.0086772075044032
novelty_ngram_rarity_norm,0.08492030846099163,0.04911140199198636,0.087086382122917,-0.051499859183763305,-0.09557715769706894,0.0086772075044032
novelty_score,0.07111919821215651,-0.0008755960204050976,0.020583037231701733,-0.004859067891961,-0.04748004978958472,-0.005886291178981896
novelty_semantic_distance_centroid,-0.06032865204352048,-0.09241517997184713,-0.07331985747414498,0.13545499260682908,0.021043802050079885,0.0008802269270723697
novelty_semantic_distance_centroid_norm,-0.06032865204352048,-0.09241517997184713,-0.07331985747414498,0.13545499260682908,0.021043802050079885,0.0008802269270723697
surprise_distance_to_neighbors,0.03427484746449272,-0.01070717181646855,-0.03210370253187149,0.096266044761471,-0.022165894159837985,0.024664465549199033
surprise_distance_to_neighbors_norm,0.03427484746449272,-0.01070717181646855,-0.03210370253187149,0.096266044761471,-0.022165894159837985,0.024664465549199033
surprise_divergent_idea_count,0.06693718271799817,0.08401482041394127,0.15309211889447555,-0.1116342359132393,-0.0657672836122211,-0.02266090460411611
surprise_divergent_idea_count_norm,0.06693718271799817,0.08401482041394127,0.15309211889447555,-0.1116342359132393,-0.0657672836122211,-0.02266090460411611
surprise_divergent_score,0.06428975335786954,0.08133167183102323,0.15240730523991114,-0.10925931304020554,-0.06472018049686722,-0.021829377644315213
surprise_divergent_score_norm,0.06428975335786954,0.08133167183102323,0.15240730523991114,-0.10925931304020554,-0.06472018049686722,-0.021829377644315213
surprise_prompt_response_distance,0.08742119151133489,-0.009906072892059165,-0.04239630980491458,0.02155222605968591,-0.030990173355668497,0.06506796805611974
surprise_prompt_response_distance_norm,0.08742119151133489,-0.009906072892059165,-0.04239630980491458,0.02155222605968591,-0.030990173355668497,0.06506796805611974
surprise_score,0.08372069706510561,0.048524143395953574,0.0948413572067518,-0.036951516169968765,-0.061759282356706614,0.0172024595167017
surprise_unexpected_variance,-0.03745276219970831,-0.062349899840629115,0.015202644375656887,0.011333829664385241,0.001625455835798421,-0.012030829687207378
surprise_unexpected_variance_norm,-0.03745276219970831,-0.062349899840629115,0.015202644375656887,0.011333829664385241,0.001625455835798421,-0.012030829687207378
value_bertscore_f1,-0.006729703488095691,0.039429191847429525,-0.002655277125216369,-0.010845420504176476,0.04644292570743604,-0.026846993778737067
value_bertscore_f1_norm,-0.006729703488095691,0.039429191847429525,-0.002655277125216369,-0.010845420504176476,0.04644292570743604,-0.026846993778737067
value_local_coherence,-0.011590692536036774,0.0072496304210694544,-0.019474128164014386,0.006950733531009787,-0.0026059561959792,0.04387829571229802
value_local_coherence_norm,-0.011590692536036774,0.0072496304210694544,-0.019474128164014386,0.006950733531009787,-0.0026059561959792,0.04387829571229802
value_rouge_l_prompt_response,-0.09778050520208842,-0.08288184714424972,-0.01601108318699283,0.04358442810769345,0.028933411124007737,-0.03462039440733247
value_rouge_l_prompt_response_norm,-0.09778050520208842,-0.08288184714424972,-0.01601108318699283,0.04358442810769345,0.028933411124007737,-0.03462039440733247
value_score,-0.06196806863497944,-0.009210477519231191,-0.025915417423607322,0.020612541735390285,0.03604247319435892,-0.01818119198254917
